id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,66924.0,1339755924798,1,1339755924798,49197258453,68604.0,65819.0,-1385.2947783657437,-2.02797,-26379075055.77002,-1.93093,20010612.0,20010612.0,21000000.0,126080.0,-46.91923,2025-10-06T18:57:42.558Z,67.81,98595.11911,2013-07-06T00:00:00.000Z,,2026-04-02T21:06:42.163Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2066.52,249582584869,2,249582584869,20451046492,2158.96,2018.64,-85.7557151609999,-3.98442,-9877172522.901031,-3.80682,120691323.2285034,120691323.2285034,,4946.05,-58.2187,2025-08-24T19:21:03.333Z,0.432979,477180.3768,2015-10-20T00:00:00.000Z,"{'times': 40.29399620191801, 'currency': 'btc', 'percentage': 4029.3996201918017}",2026-04-02T21:06:43.915Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999962,184156813949,3,189623550939,78203934070,0.999963,0.999668,0.0001393,0.01393,-31895703.36843872,-0.01732,184163647493.0738,189630587338.1562,,1.32,-24.42455,2018-07-24T00:00:00.000Z,0.572521,74.65476,2015-03-02T00:00:00.000Z,,2026-04-02T21:06:29.849Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.32,80955855719,4,131819181040,2371419920,1.36,1.28,-0.030295747765099357,-2.2468,-1837535360.9104004,-2.21942,61405531717.0,99985687636.0,100000000000.0,3.65,-63.85189,2025-07-18T03:40:53.808Z,0.00268621,48969.0767,2014-05-22T00:00:00.000Z,,2026-04-02T21:06:29.493Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,583.72,79601665236,5,79601665236,1617144102,615.27,570.62,-31.1872360774845,-5.07187,-4198528356.5334015,-5.01017,136356981.49,136356981.49,200000000.0,1369.99,-57.39249,2025-10-13T08:41:24.131Z,0.0398177,1465879.67981,2017-10-19T00:00:00.000Z,,2026-04-02T21:06:41.996Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999918,77189786989,6,77194567171,12343989452,1.001,0.998675,-0.000141472901206807,-0.01415,3395266.0,0.0044,77194970829.04013,77199751332.25131,,1.043,-4.1749,2018-11-15T00:00:00.000Z,0.877647,13.92979,2023-03-11T08:02:13.981Z,,2026-04-02T21:06:29.872Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,79.16,45356358463,7,45356359025,4817201286,82.77,76.95,-3.4019578944073885,-4.12026,-1915739546.3526993,-4.05258,572730116.1145622,572730123.2143646,,293.31,-73.01006,2025-01-19T11:15:27.957Z,0.500801,15707.61182,2020-05-11T19:35:23.449Z,,2026-04-02T21:06:33.296Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.315004,29850660922,8,29850696367,871913817,0.316429,0.314005,-0.000897315169654522,-0.28405,-82496053.40052795,-0.2756,94763598966.88249,94763711491.95619,,0.431288,-26.962,2024-12-04T00:10:40.323Z,0.00180434,17358.13372,2017-11-12T00:00:00.000Z,"{'times': 164.79177648714264, 'currency': 'usd', 'percentage': 16479.177648714263}",2026-04-02T21:06:30.348Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.034,16971751611,9,16971751611,42409294,1.034,1.016,0.0180127,1.77312,415228800.0,2.50795,16415434188.327,16415434188.327,,1.049,-1.44991,2026-03-09T17:00:25.937Z,0.155357,565.50587,2025-10-31T14:27:24.456Z,,2026-04-02T21:06:44.747Z
little-pepe-5,lilpepe,Little Pepe,https://coin-images.coingecko.com/coins/images/70298/large/logo-trans.png?1761480557,14.79,14787433208,11,14787433208,1212732,14.79,0.00031509,14.79,1108336.98454,14787418348.0,99512419.4206,1000000000.0,1000000000.0,1000000000.0,13.67,-7.69793,2026-04-02T20:30:57.632Z,7.06e-06,178797120.9117,2025-10-27T06:08:45.172Z,,2026-04-02T21:06:29.858Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.09055,13919933830,10,13920047061,1019963292,0.09307,0.089205,-0.002072086272280546,-2.23714,-313157546.17255783,-2.20021,153667406383.7052,153668656383.7052,,0.731578,-87.62266,2021-05-08T05:08:23.458Z,8.69e-05,104095.64878,2015-05-06T00:00:00.000Z,,2026-04-02T21:06:44.356Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999818,11800245219,12,11800245219,81062907,1.005,0.998356,0.00017348,0.01735,65517148.0,0.55832,11802445118.84135,11802445118.84135,,1.15,-13.22928,2026-04-02T07:21:14.655Z,0.948265,5.42152,2024-10-03T13:19:28.826Z,,2026-04-02T21:06:29.404Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,51.34,10957020133,13,16414993039,89616771,52.44,50.53,-0.8723357549530419,-1.6708,-183477659.3958397,-1.64694,213418274.0,319727393.0,400000000.0,64.11,-19.915,2025-12-10T20:16:13.582Z,3.06,1576.81955,2023-02-13T19:01:21.899Z,,2026-04-02T21:06:29.429Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,10.02,9232089278,14,9876570031,375738,10.03,10.01,0.00835836,0.08345,11094823.0,0.12032,920949178.9,985239504.0,,10.14,-1.12211,2025-03-10T09:26:43.294Z,0.799859,1152.89335,2019-12-24T15:14:35.376Z,,2026-04-02T21:06:29.418Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,442.66,8859605132,16,8859725472,217230988,455.29,440.41,-12.112634483603358,-2.66347,-242364834.7268467,-2.66277,20015831.14665078,20016103.02165078,21000000.0,3785.82,-88.30753,2017-12-20T00:00:00.000Z,76.93,475.36484,2018-12-16T00:00:00.000Z,,2026-04-02T21:06:39.190Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.240135,8857603832,15,10808631536,557033874,0.250102,0.235293,-0.009213608085007485,-3.69507,-321118120.6975689,-3.49851,36877209763.52091,45000000000.0,45000000000.0,3.09,-92.22085,2021-09-02T06:00:10.474Z,0.01925275,1147.27848,2020-03-13T02:22:55.044Z,,2026-04-02T21:06:41.469Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,35.12,8373132917,17,33799264502,287294289,36.2,34.5,-0.9952758081941795,-2.7555,-235223935.96989632,-2.73251,238385315.9541414,962274028.9541414,1000000000.0,59.3,-40.77199,2025-09-18T03:30:30.650Z,3.81,822.20448,2024-11-29T09:30:30.871Z,,2026-04-02T21:06:29.500Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,8.64,6118354026,18,8640522922,369306139,9.02,8.44,-0.3586755890687492,-3.98562,-245278379.1121273,-3.85438,708099970.4525567,1000000000.0,1000000000.0,52.7,-83.60313,2021-05-10T00:13:57.214Z,0.148183,5731.02167,2017-11-29T00:00:00.000Z,,2026-04-02T21:06:42.107Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,329.08,6076410497,19,6076410497,92175170,339.64,325.26,-7.245678900944256,-2.15439,-128802876.29865742,-2.07572,18446744.07370955,18446744.07370955,,797.73,-58.74863,2026-01-14T19:34:07.049Z,0.216177,152125.73877,2015-01-14T00:00:00.000Z,,2026-04-02T21:06:29.583Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999405,5885314402,20,5885314402,55648405,1.0,0.998549,0.00016567,0.01658,1357957.0,0.02308,5889571865.153693,5889571865.153693,,1.034,-3.34055,2025-12-09T17:10:12.652Z,0.929486,7.53058,2024-10-04T07:57:15.809Z,,2026-04-02T21:06:44.637Z
